period,sum
2019-01-14T20,1681
2019-01-14T21,4722
2019-01-14T22,3962
2019-01-14T23,3444
2019-01-15T00,3402
2019-01-15T01,3770
2019-01-15T02,4170
2019-01-15T03,3842
2019-01-15T04,3332
2019-01-15T05,2726
2019-01-15T06,2081
2019-01-15T07,1808
2019-01-15T08,1863
2019-01-15T09,1698
2019-01-15T10,1503
2019-01-15T11,1622
2019-01-15T12,1673
2019-01-15T13,2519
2019-01-15T14,3312
2019-01-15T15,3764
2019-01-15T16,4155
2019-01-15T17,4264
2019-01-15T18,4179
2019-01-15T19,4207
2019-01-15T20,3914
2019-01-15T21,4340
2019-01-15T22,5003
2019-01-15T23,4917
2019-01-16T00,4449
2019-01-16T01,4192
2019-01-16T02,4376
2019-01-16T03,4851
2019-01-16T04,4615
2019-01-16T05,3991
2019-01-16T06,2864
2019-01-16T07,2043
2019-01-16T08,1960
2019-01-16T09,1950
2019-01-16T10,2042
2019-01-16T11,2133
2019-01-16T12,2497
2019-01-16T13,3419
2019-01-16T14,3798
2019-01-16T15,3787
2019-01-16T16,4526
2019-01-16T17,5852
2019-01-16T18,6880
2019-01-16T19,7149
2019-01-16T20,6819
2019-01-16T21,6944
2019-01-16T22,6969
2019-01-16T23,6543
2019-01-17T00,5389
2019-01-17T01,4935
2019-01-17T02,4719
2019-01-17T03,4808
2019-01-17T04,4236
2019-01-17T05,3569
2019-01-17T06,3499
2019-01-17T07,3235
2019-01-17T08,3029
2019-01-17T09,3174
2019-01-17T10,3507
2019-01-17T11,2892
2019-01-17T12,2708
2019-01-17T13,2760
2019-01-17T14,3205
2019-01-17T15,3801
2019-01-17T16,4729
2019-01-17T17,5356
2019-01-17T18,7036
2019-01-17T19,6822
2019-01-17T20,6451
2019-01-17T21,7541
2019-01-17T22,6868
2019-01-17T23,5442
2019-01-18T00,4888
2019-01-18T01,5057
2019-01-18T02,5380
2019-01-18T03,5560
2019-01-18T04,5159
2019-01-18T05,5504
2019-01-18T06,5256
2019-01-18T07,5359
2019-01-18T08,4648
2019-01-18T09,4235
2019-01-18T10,4384
2019-01-18T11,4238
2019-01-18T12,4225
2019-01-18T13,4089
2019-01-18T14,3912
2019-01-18T15,4256
2019-01-18T16,6826
2019-01-18T17,9234
2019-01-18T18,9427
2019-01-18T19,10696
2019-01-18T20,10168
2019-01-18T21,9351
2019-01-18T22,9455
2019-01-18T23,8686
2019-01-19T00,5656
2019-01-19T01,3969
2019-01-19T02,4146
2019-01-19T03,3777
2019-01-19T04,3264
2019-01-19T05,3024
2019-01-19T06,2402
2019-01-19T07,2267
2019-01-19T08,2175
2019-01-19T09,2219
2019-01-19T10,2108
2019-01-19T11,2167
2019-01-19T12,2260
2019-01-19T13,2265
2019-01-19T14,2296
2019-01-19T15,2373
2019-01-19T16,4741
2019-01-19T17,7931
2019-01-19T18,9066
2019-01-19T19,9381
2019-01-19T20,9370
2019-01-19T21,9313
2019-01-19T22,9272
2019-01-19T23,8398
2019-01-20T00,5451
2019-01-20T01,3452
2019-01-20T02,3335
2019-01-20T03,3254
2019-01-20T04,2925
2019-01-20T05,2326
2019-01-20T06,2006
2019-01-20T07,1788
2019-01-20T08,1729
2019-01-20T09,1656
2019-01-20T10,1613
2019-01-20T11,1626
2019-01-20T12,1781
2019-01-20T13,1809
2019-01-20T14,2032
2019-01-20T15,2512
2019-01-20T16,4179
2019-01-20T17,6104
2019-01-20T18,7119
2019-01-20T19,8262
2019-01-20T20,8531
2019-01-20T21,9111
2019-01-20T22,7793
2019-01-20T23,6453
2019-01-21T00,5448
2019-01-21T01,4934
2019-01-21T02,5903
2019-01-21T03,6351
2019-01-21T04,5466
2019-01-21T05,5184
2019-01-21T06,4837
2019-01-21T07,4969
2019-01-21T08,5701
2019-01-21T09,5140
2019-01-21T10,5332
2019-01-21T11,5182
2019-01-21T12,4547
2019-01-21T13,4945
2019-01-21T14,4833
2019-01-21T15,4486
2019-01-21T16,7098
2019-01-21T17,11033
2019-01-21T18,11617
2019-01-21T19,12972
2019-01-21T20,12781
2019-01-21T21,11668
2019-01-21T22,10950
2019-01-21T23,10212
2019-01-22T00,7781
2019-01-22T01,6007
2019-01-22T02,6220
2019-01-22T03,6780
2019-01-22T04,6679
2019-01-22T05,6239
2019-01-22T06,6152
2019-01-22T07,6210
2019-01-22T08,5364
2019-01-22T09,4737
2019-01-22T10,4194
2019-01-22T11,3658
2019-01-22T12,3617
2019-01-22T13,3788
2019-01-22T14,3942
2019-01-22T15,4190
2019-01-22T16,6562
2019-01-22T17,9619
2019-01-22T18,10776
2019-01-22T19,10181
2019-01-22T20,9373
2019-01-22T21,9423
2019-01-22T22,8847
2019-01-22T23,9163
2019-01-23T00,6242
2019-01-23T01,3161
2019-01-23T02,4006
2019-01-23T03,3497
2019-01-23T04,3165
2019-01-23T05,2665
2019-01-23T06,2455
2019-01-23T07,2138
2019-01-23T08,1770
2019-01-23T09,1551
2019-01-23T10,1514
2019-01-23T11,1582
2019-01-23T12,1682
2019-01-23T13,2348
2019-01-23T14,2641
2019-01-23T15,3412
2019-01-23T16,5546
2019-01-23T17,8790
2019-01-23T18,9330
2019-01-23T19,9234
2019-01-23T20,9177
2019-01-23T21,9225
2019-01-23T22,9173
2019-01-23T23,9193
2019-01-24T00,6289
2019-01-24T01,4115
2019-01-24T02,4283
2019-01-24T03,4425
2019-01-24T04,3650
2019-01-24T05,3168
2019-01-24T06,2413
2019-01-24T07,2096
2019-01-24T08,1715
2019-01-24T09,1688
2019-01-24T10,1755
2019-01-24T11,1927
2019-01-24T12,2081
2019-01-24T13,2355
2019-01-24T14,2875
2019-01-24T15,3600
2019-01-24T16,6560
2019-01-24T17,9402
2019-01-24T18,10143
2019-01-24T19,10058
2019-01-24T20,9997
2019-01-24T21,9914
2019-01-24T22,9839
2019-01-24T23,9058
2019-01-25T00,6069
2019-01-25T01,3487
2019-01-25T02,3579
2019-01-25T03,3288
2019-01-25T04,3072
2019-01-25T05,2652
2019-01-25T06,2564
2019-01-25T07,1849
2019-01-25T08,2104
2019-01-25T09,2058
2019-01-25T10,1889
2019-01-25T11,2040
2019-01-25T12,2248
2019-01-25T13,2290
2019-01-25T14,3132
2019-01-25T15,3786
2019-01-25T16,6742
2019-01-25T17,9273
2019-01-25T18,9382
2019-01-25T19,9398
2019-01-25T20,9468
2019-01-25T21,9361
2019-01-25T22,9210
2019-01-25T23,9178
2019-01-26T00,6455
2019-01-26T01,3747
2019-01-26T02,4105
2019-01-26T03,3451
2019-01-26T04,3408
2019-01-26T05,3167
2019-01-26T06,2480
2019-01-26T07,2250
2019-01-26T08,2213
2019-01-26T09,2302
2019-01-26T10,2401
2019-01-26T11,2357
2019-01-26T12,2477
2019-01-26T13,2293
2019-01-26T14,2572
2019-01-26T15,3274
2019-01-26T16,6655
2019-01-26T17,9827
2019-01-26T18,10375
2019-01-26T19,10213
2019-01-26T20,10114
2019-01-26T21,9947
2019-01-26T22,9528
2019-01-26T23,8590
2019-01-27T00,5754
2019-01-27T01,4011
2019-01-27T02,3958
2019-01-27T03,3528
2019-01-27T04,3342
2019-01-27T05,2986
2019-01-27T06,2386
2019-01-27T07,2050
2019-01-27T08,2144
2019-01-27T09,1737
2019-01-27T10,1661
2019-01-27T11,1668
2019-01-27T12,1739
2019-01-27T13,1896
2019-01-27T14,2190
2019-01-27T15,2293
2019-01-27T16,4724
2019-01-27T17,7311
2019-01-27T18,8497
2019-01-27T19,9259
2019-01-27T20,9353
2019-01-27T21,9353
2019-01-27T22,9207
2019-01-27T23,8421
2019-01-28T00,6222
2019-01-28T01,3334
2019-01-28T02,3562
2019-01-28T03,3485
2019-01-28T04,3220
2019-01-28T05,2732
2019-01-28T06,2325
2019-01-28T07,1707
2019-01-28T08,1527
2019-01-28T09,1377
2019-01-28T10,1252
2019-01-28T11,1069
2019-01-28T12,1379
2019-01-28T13,1939
2019-01-28T14,2764
2019-01-28T15,3754
2019-01-28T16,5550
2019-01-28T17,6891
2019-01-28T18,7484
2019-01-28T19,7572
2019-01-28T20,7655
2019-01-28T21,8019
2019-01-28T22,6997
2019-01-28T23,5406
2019-01-29T00,3991
2019-01-29T01,3434
