"period","subba","subba-name","parent","parent-name","value","value-units"
"2026-09-19T06","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","171","megawatthours"
"2026-09-19T06","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","247","megawatthours"
"2026-09-19T06","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","358","megawatthours"
"2026-09-19T05","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","170","megawatthours"
"2026-09-19T05","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","263","megawatthours"
"2026-09-19T05","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","365","megawatthours"
"2026-09-19T04","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","164","megawatthours"
"2026-09-19T04","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","280","megawatthours"
"2026-09-19T04","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","372","megawatthours"
"2026-09-19T03","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","165","megawatthours"
"2026-09-19T03","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","297","megawatthours"
"2026-09-19T03","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","379","megawatthours"
"2026-09-19T02","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","167","megawatthours"
"2026-09-19T02","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","308","megawatthours"
"2026-09-19T02","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","378","megawatthours"
"2026-09-19T01","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","185","megawatthours"
"2026-09-19T01","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","318","megawatthours"
"2026-09-19T01","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","386","megawatthours"
"2026-09-19T00","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","224","megawatthours"
"2026-09-19T00","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","338","megawatthours"
"2026-09-19T00","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","392","megawatthours"
"2026-09-18T23","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","230","megawatthours"
"2026-09-18T23","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","348","megawatthours"
"2026-09-18T23","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","402","megawatthours"
"2026-09-18T22","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","232","megawatthours"
"2026-09-18T22","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","352","megawatthours"
"2026-09-18T22","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","399","megawatthours"
"2026-09-18T21","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","213","megawatthours"
"2026-09-18T21","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","347","megawatthours"
"2026-09-18T21","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","403","megawatthours"
"2026-09-18T20","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","209","megawatthours"
"2026-09-18T20","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","336","megawatthours"
"2026-09-18T20","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","402","megawatthours"
"2026-09-18T19","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","212","megawatthours"
"2026-09-18T19","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","324","megawatthours"
"2026-09-18T19","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","398","megawatthours"
"2026-09-18T18","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","211","megawatthours"
"2026-09-18T18","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","313","megawatthours"
"2026-09-18T18","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","393","megawatthours"
"2026-09-18T17","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","213","megawatthours"
"2026-09-18T17","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","303","megawatthours"
"2026-09-18T17","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","389","megawatthours"
"2026-09-18T16","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","211","megawatthours"
"2026-09-18T16","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","294","megawatthours"
"2026-09-18T16","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","386","megawatthours"
"2026-09-18T15","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","207","megawatthours"
"2026-09-18T15","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","287","megawatthours"
"2026-09-18T15","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","380","megawatthours"
"2026-09-18T14","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","194","megawatthours"
"2026-09-18T14","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","279","megawatthours"
"2026-09-18T14","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","378","megawatthours"
"2026-09-18T13","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","180","megawatthours"
"2026-09-18T13","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","263","megawatthours"
"2026-09-18T13","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","374","megawatthours"
"2026-09-18T12","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","178","megawatthours"
"2026-09-18T12","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","239","megawatthours"
"2026-09-18T12","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","368","megawatthours"
"2026-09-18T11","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","185","megawatthours"
"2026-09-18T11","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","225","megawatthours"
"2026-09-18T11","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","362","megawatthours"
"2026-09-18T10","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","186","megawatthours"
"2026-09-18T10","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","221","megawatthours"
"2026-09-18T10","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","360","megawatthours"
"2026-09-18T09","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","184","megawatthours"
"2026-09-18T09","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","222","megawatthours"
"2026-09-18T09","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","361","megawatthours"
"2026-09-18T08","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","190","megawatthours"
"2026-09-18T08","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","226","megawatthours"
"2026-09-18T08","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","362","megawatthours"
"2026-09-18T07","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","195","megawatthours"
"2026-09-18T07","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","232","megawatthours"
"2026-09-18T07","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","364","megawatthours"
"2026-09-18T07","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","11257","megawatthours"
"2026-09-18T07","SCE","Southern California Edison","CISO","California Independent System Operator","12520","megawatthours"
"2026-09-18T07","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2691","megawatthours"
"2026-09-18T07","VEA","Valley Electric Association","CISO","California Independent System Operator","64","megawatthours"
"2026-09-18T07","ACMA","City of Acoma Pueblo","PNM","Public Service Company of New Mexico","3","megawatthours"
"2026-09-18T07","CYGA","City of Gallup","PNM","Public Service Company of New Mexico","12","megawatthours"
"2026-09-18T07","Frep","Freeport","PNM","Public Service Company of New Mexico","39","megawatthours"
"2026-09-18T07","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T07","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","55","megawatthours"
"2026-09-18T07","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","23","megawatthours"
"2026-09-18T07","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","67","megawatthours"
"2026-09-18T07","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1207","megawatthours"
"2026-09-18T07","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","240","megawatthours"
"2026-09-18T06","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","195","megawatthours"
"2026-09-18T06","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","244","megawatthours"
"2026-09-18T06","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","366","megawatthours"
"2026-09-18T06","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","11985","megawatthours"
"2026-09-18T06","SCE","Southern California Edison","CISO","California Independent System Operator","13450","megawatthours"
"2026-09-18T06","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2778","megawatthours"
"2026-09-18T06","VEA","Valley Electric Association","CISO","California Independent System Operator","71","megawatthours"
"2026-09-18T06","ACMA","City of Acoma Pueblo","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T06","CYGA","City of Gallup","PNM","Public Service Company of New Mexico","14","megawatthours"
"2026-09-18T06","Frep","Freeport","PNM","Public Service Company of New Mexico","39","megawatthours"
"2026-09-18T06","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T06","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","56","megawatthours"
"2026-09-18T06","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","24","megawatthours"
"2026-09-18T06","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","66","megawatthours"
"2026-09-18T06","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1292","megawatthours"
"2026-09-18T06","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","253","megawatthours"
"2026-09-18T05","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","193","megawatthours"
"2026-09-18T05","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","258","megawatthours"
"2026-09-18T05","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","372","megawatthours"
"2026-09-18T05","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","12716","megawatthours"
"2026-09-18T05","SCE","Southern California Edison","CISO","California Independent System Operator","14095","megawatthours"
"2026-09-18T05","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2960","megawatthours"
"2026-09-18T05","VEA","Valley Electric Association","CISO","California Independent System Operator","81","megawatthours"
"2026-09-18T05","0001","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","10026","megawatthours"
"2026-09-18T05","0004","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6190","megawatthours"
"2026-09-18T05","0006","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","11532","megawatthours"
"2026-09-18T05","0027","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","17346","megawatthours"
"2026-09-18T05","0035","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","11765","megawatthours"
"2026-09-18T05","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","22678","megawatthours"
"2026-09-18T05","ACMA","City of Acoma Pueblo","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T05","CYGA","City of Gallup","PNM","Public Service Company of New Mexico","14","megawatthours"
"2026-09-18T05","Frep","Freeport","PNM","Public Service Company of New Mexico","40","megawatthours"
"2026-09-18T05","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T05","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","57","megawatthours"
"2026-09-18T05","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","26","megawatthours"
"2026-09-18T05","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","67","megawatthours"
"2026-09-18T05","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1381","megawatthours"
"2026-09-18T05","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","269","megawatthours"
"2026-09-18T05","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","6797","megawatthours"
"2026-09-18T05","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","799","megawatthours"
"2026-09-18T05","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","1347","megawatthours"
"2026-09-18T05","INDN","Independence Power & Light","SWPP","Southwest Power Pool","165","megawatthours"
"2026-09-18T05","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","347","megawatthours"
"2026-09-18T05","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2682","megawatthours"
"2026-09-18T05","LES","Lincoln Electric System","SWPP","Southwest Power Pool","520","megawatthours"
"2026-09-18T05","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1379","megawatthours"
"2026-09-18T05","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","1984","megawatthours"
"2026-09-18T05","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5356","megawatthours"
"2026-09-18T05","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2113","megawatthours"
"2026-09-18T05","SECI","Sunflower Electric","SWPP","Southwest Power Pool","835","megawatthours"
"2026-09-18T05","SPRM","City of Springfield","SWPP","Southwest Power Pool","513","megawatthours"
"2026-09-18T05","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4605","megawatthours"
"2026-09-18T05","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3765","megawatthours"
"2026-09-18T05","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1280","megawatthours"
"2026-09-18T05","WR","Westar Energy","SWPP","Southwest Power Pool","4577","megawatthours"
"2026-09-18T05","PRPA","Platte River Power Authority - PRPA","SWPW","Southwest Power Pool West Balancing Authority Area","402","megawatthours"
"2026-09-18T05","WACM","Western Area Power Administration - Colorado Missouri Region - WACM","SWPW","Southwest Power Pool West Balancing Authority Area","2457","megawatthours"
"2026-09-18T05","WAUW","Western Area Power Administration - Upper Great Plains West - WAUW","SWPW","Southwest Power Pool West Balancing Authority Area","58","megawatthours"
"2026-09-18T04","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","193","megawatthours"
"2026-09-18T04","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","277","megawatthours"
"2026-09-18T04","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","380","megawatthours"
"2026-09-18T04","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","13123","megawatthours"
"2026-09-18T04","SCE","Southern California Edison","CISO","California Independent System Operator","14329","megawatthours"
"2026-09-18T04","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","3087","megawatthours"
"2026-09-18T04","VEA","Valley Electric Association","CISO","California Independent System Operator","87","megawatthours"
"2026-09-18T04","0001","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","10597","megawatthours"
"2026-09-18T04","0004","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6621","megawatthours"
"2026-09-18T04","0006","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","12273","megawatthours"
"2026-09-18T04","0027","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","17263","megawatthours"
"2026-09-18T04","0035","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","12153","megawatthours"
"2026-09-18T04","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","24167","megawatthours"
"2026-09-18T04","ZONA","West","NYIS","New York Independent System Operator","1677","megawatthours"
"2026-09-18T04","ZONB","Genesee","NYIS","New York Independent System Operator","1107","megawatthours"
"2026-09-18T04","ZONC","Central","NYIS","New York Independent System Operator","1725","megawatthours"
"2026-09-18T04","ZOND","North","NYIS","New York Independent System Operator","534","megawatthours"
"2026-09-18T04","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","788","megawatthours"
"2026-09-18T04","ZONF","Capital","NYIS","New York Independent System Operator","1306","megawatthours"
"2026-09-18T04","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1209","megawatthours"
"2026-09-18T04","ZONH","Millwood","NYIS","New York Independent System Operator","284","megawatthours"
"2026-09-18T04","ZONI","Dunwoodie","NYIS","New York Independent System Operator","731","megawatthours"
"2026-09-18T04","ZONJ","New York City","NYIS","New York Independent System Operator","6672","megawatthours"
"2026-09-18T04","ZONK","Long Island","NYIS","New York Independent System Operator","2704","megawatthours"
"2026-09-18T04","ACMA","City of Acoma Pueblo","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T04","CYGA","City of Gallup","PNM","Public Service Company of New Mexico","16","megawatthours"
"2026-09-18T04","Frep","Freeport","PNM","Public Service Company of New Mexico","43","megawatthours"
"2026-09-18T04","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours"
"2026-09-18T04","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","57","megawatthours"
"2026-09-18T04","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","23","megawatthours"
"2026-09-18T04","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","68","megawatthours"
"2026-09-18T04","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1463","megawatthours"
"2026-09-18T04","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","284","megawatthours"
"2026-09-18T04","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7348","megawatthours"
"2026-09-18T04","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","876","megawatthours"
"2026-09-18T04","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","1385","megawatthours"
"2026-09-18T04","INDN","Independence Power & Light","SWPP","Southwest Power Pool","182","megawatthours"
"2026-09-18T04","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","364","megawatthours"
"2026-09-18T04","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2889","megawatthours"
"2026-09-18T04","LES","Lincoln Electric System","SWPP","Southwest Power Pool","557","megawatthours"
"2026-09-18T04","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1508","megawatthours"
"2026-09-18T04","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","2094","megawatthours"
"2026-09-18T04","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5705","megawatthours"
"2026-09-18T04","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2233","megawatthours"
"2026-09-18T04","SECI","Sunflower Electric","SWPP","Southwest Power Pool","873","megawatthours"
"2026-09-18T04","SPRM","City of Springfield","SWPP","Southwest Power Pool","557","megawatthours"
"2026-09-18T04","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4778","megawatthours"
"2026-09-18T04","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3900","megawatthours"
"2026-09-18T04","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1359","megawatthours"
"2026-09-18T04","WR","Westar Energy","SWPP","Southwest Power Pool","4943","megawatthours"
"2026-09-18T04","PRPA","Platte River Power Authority - PRPA","SWPW","Southwest Power Pool West Balancing Authority Area","432","megawatthours"
"2026-09-18T04","WACM","Western Area Power Administration - Colorado Missouri Region - WACM","SWPW","Southwest Power Pool West Balancing Authority Area","2594","megawatthours"
"2026-09-18T04","WAUW","Western Area Power Administration - Upper Great Plains West - WAUW","SWPW","Southwest Power Pool West Balancing Authority Area","58","megawatthours"
"2026-09-18T03","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","188","megawatthours"
"2026-09-18T03","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","292","megawatthours"
"2026-09-18T03","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","387","megawatthours"
"2026-09-18T03","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","13093","megawatthours"
"2026-09-18T03","SCE","Southern California Edison","CISO","California Independent System Operator","14707","megawatthours"
"2026-09-18T03","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","3104","megawatthours"
"2026-09-18T03","VEA","Valley Electric Association","CISO","California Independent System Operator","92","megawatthours"
"2026-09-18T03","0001","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","11037","megawatthours"
"2026-09-18T03","0004","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","7094","megawatthours"
"2026-09-18T03","0006","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","13099","megawatthours"
