"period","respondent","respondent-name","fueltype","type-name","value","value-units"
"2026-09-09T06","AVA","Avista Corporation","NG","Natural Gas",424,"megawatthours"
"2026-09-09T06","AVA","Avista Corporation","OTH","Other",129,"megawatthours"
"2026-09-09T06","AVA","Avista Corporation","SUN","Solar",0,"megawatthours"
"2026-09-09T06","AVA","Avista Corporation","WAT","Hydro",167,"megawatthours"
"2026-09-09T06","AVA","Avista Corporation","WND","Wind",40,"megawatthours"
"2026-09-09T06","AVRN","Avangrid Renewables, LLC","NG","Natural Gas",503,"megawatthours"
"2026-09-09T06","AVRN","Avangrid Renewables, LLC","SUN","Solar",0,"megawatthours"
"2026-09-09T06","AVRN","Avangrid Renewables, LLC","WAT","Hydro",0,"megawatthours"
"2026-09-09T06","AVRN","Avangrid Renewables, LLC","WND","Wind",0,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","BAT","Battery storage",1270,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","COL","Coal",1013,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","NG","Natural Gas",2109,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","NUC","Nuclear",0,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","OIL","Petroleum",0,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","OTH","Other",28,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","SUN","Solar",63,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","UES","Unknown energy storage",-10,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","WAT","Hydro",0,"megawatthours"
"2026-09-09T06","AZPS","Arizona Public Service Company","WND","Wind",139,"megawatthours"
"2026-09-09T06","BANC","Balancing Authority of Northern California","NG","Natural Gas",1622,"megawatthours"
"2026-09-09T06","BANC","Balancing Authority of Northern California","OTH","Other",9,"megawatthours"
"2026-09-09T06","BANC","Balancing Authority of Northern California","SUN","Solar",0,"megawatthours"
"2026-09-09T06","BANC","Balancing Authority of Northern California","WAT","Hydro",945,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","NG","Natural Gas",1030,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","NUC","Nuclear",1150,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","OTH","Other",88,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","SNB","Solar with integrated battery storage",1,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","SUN","Solar",-2,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","WAT","Hydro",5747,"megawatthours"
"2026-09-09T06","BPAT","Bonneville Power Administration","WND","Wind",51,"megawatthours"
"2026-09-09T06","CAL","California","BAT","Battery storage",147,"megawatthours"
"2026-09-09T06","CAL","California","COL","Coal",0,"megawatthours"
"2026-09-09T06","CAL","California","GEO","Geothermal",1144,"megawatthours"
"2026-09-09T06","CAL","California","NG","Natural Gas",22610,"megawatthours"
"2026-09-09T06","CAL","California","NUC","Nuclear",2242,"megawatthours"
"2026-09-09T06","CAL","California","OIL","Petroleum",18,"megawatthours"
"2026-09-09T06","CAL","California","OTH","Other",2347,"megawatthours"
"2026-09-09T06","CAL","California","PS","Pumped storage",178,"megawatthours"
"2026-09-09T06","CAL","California","SNB","Solar with integrated battery storage",9,"megawatthours"
"2026-09-09T06","CAL","California","SUN","Solar",-43,"megawatthours"
"2026-09-09T06","CAL","California","WAT","Hydro",5134,"megawatthours"
"2026-09-09T06","CAL","California","WND","Wind",1293,"megawatthours"
"2026-09-09T06","CAR","Carolinas","BAT","Battery storage",-51,"megawatthours"
"2026-09-09T06","CAR","Carolinas","COL","Coal",3732,"megawatthours"
"2026-09-09T06","CAR","Carolinas","NG","Natural Gas",5341,"megawatthours"
"2026-09-09T06","CAR","Carolinas","NUC","Nuclear",10590,"megawatthours"
