"period","fromba","fromba-name","toba","toba-name","value","value-units"
"2026-09-14T06","BANC","Balancing Authority of Northern California","BPAT","Bonneville Power Administration",-1125,"megawatthours"
"2026-09-14T06","BANC","Balancing Authority of Northern California","CISO","California Independent System Operator",888,"megawatthours"
"2026-09-14T06","BANC","Balancing Authority of Northern California","TIDC","Turlock Irrigation District",-51,"megawatthours"
"2026-09-14T06","CAL","California","NW","Northwest",-1125,"megawatthours"
"2026-09-14T06","CHPD","Public Utility District No. 1 of Chelan County","AVA","Avista Corporation",-9,"megawatthours"
"2026-09-14T06","CHPD","Public Utility District No. 1 of Chelan County","BPAT","Bonneville Power Administration",218,"megawatthours"
"2026-09-14T06","CHPD","Public Utility District No. 1 of Chelan County","DOPD","PUD No. 1 of Douglas County",44,"megawatthours"
"2026-09-14T06","CHPD","Public Utility District No. 1 of Chelan County","PSEI","Puget Sound Energy, Inc.",21,"megawatthours"
"2026-09-14T06","EPE","El Paso Electric Company","PNM","Public Service Company of New Mexico",-203,"megawatthours"
"2026-09-14T06","EPE","El Paso Electric Company","SWPP","Southwest Power Pool",0,"megawatthours"
"2026-09-14T06","EPE","El Paso Electric Company","TEPC","Tucson Electric Power",-151,"megawatthours"
"2026-09-14T06","GCPD","Public Utility District No. 2 of Grant County, Washington","AVA","Avista Corporation",-149,"megawatthours"
"2026-09-14T06","GCPD","Public Utility District No. 2 of Grant County, Washington","BPAT","Bonneville Power Administration",120,"megawatthours"
"2026-09-14T06","GCPD","Public Utility District No. 2 of Grant County, Washington","PACW","PacifiCorp West",71,"megawatthours"
"2026-09-14T06","GCPD","Public Utility District No. 2 of Grant County, Washington","PSEI","Puget Sound Energy, Inc.",-286,"megawatthours"
"2026-09-14T06","SW","Southwest","CENT","Central",0,"megawatthours"
"2026-09-14T06","TPWR","City of Tacoma, Department of Public Utilities, Light Division","BPAT","Bonneville Power Administration",-311,"megawatthours"
"2026-09-14T06","TPWR","City of Tacoma, Department of Public Utilities, Light Division","PSEI","Puget Sound Energy, Inc.",42,"megawatthours"
"2026-09-14T05","BANC","Balancing Authority of Northern California","BPAT","Bonneville Power Administration",-1111,"megawatthours"
"2026-09-14T05","BANC","Balancing Authority of Northern California","CISO","California Independent System Operator",907,"megawatthours"
"2026-09-14T05","BANC","Balancing Authority of Northern California","TIDC","Turlock Irrigation District",-81,"megawatthours"
"2026-09-14T05","BHBA","Black Hills Energy","PACE","PacifiCorp East",81,"megawatthours"
"2026-09-14T05","BHBA","Black Hills Energy","SWPP","Southwest Power Pool",-166,"megawatthours"
"2026-09-14T05","BHBA","Black Hills Energy","SWPW","Southwest Power Pool West Balancing Authority Area",68,"megawatthours"
"2026-09-14T05","CAL","California","NW","Northwest",-1111,"megawatthours"
"2026-09-14T05","CHPD","Public Utility District No. 1 of Chelan County","AVA","Avista Corporation",-8,"megawatthours"
"2026-09-14T05","CHPD","Public Utility District No. 1 of Chelan County","BPAT","Bonneville Power Administration",237,"megawatthours"
"2026-09-14T05","CHPD","Public Utility District No. 1 of Chelan County","DOPD","PUD No. 1 of Douglas County",80,"megawatthours"
"2026-09-14T05","CHPD","Public Utility District No. 1 of Chelan County","PSEI","Puget Sound Energy, Inc.",24,"megawatthours"
"2026-09-14T05","EPE","El Paso Electric Company","PNM","Public Service Company of New Mexico",-397,"megawatthours"
"2026-09-14T05","EPE","El Paso Electric Company","SWPP","Southwest Power Pool",0,"megawatthours"
"2026-09-14T05","EPE","El Paso Electric Company","TEPC","Tucson Electric Power",-219,"megawatthours"
