"period","stateid","stateName","sector","sectorName","entityid","entityName","plantid","plantName","generatorid","technology","energy_source_code","energy-source-desc","prime_mover_code","balancing_authority_code","balancing-authority-name","status","statusDescription","county","latitude","longitude","nameplate-capacity-mw","net-summer-capacity-mw","net-winter-capacity-mw","operating-year-month","planned-derate-summer-cap-mw","planned-derate-year-month","planned-retirement-year-month","planned-uprate-summer-cap-mw","planned-uprate-year-month","unit","nameplate-capacity-mw-units","net-summer-capacity-mw-units","net-winter-capacity-mw-units","planned-derate-summer-cap-mw-units","planned-uprate-summer-cap-mw-units"
"2026-06","AK","Alaska","electric-utility","Electric Utility","63560","Sand Point Generating, LLC","1","Sand Point","1","Petroleum Liquids","DFO","Disillate Fuel Oil","IC",NA,NA,"SB","Standby/Backup: available for service but not normally used","Aleutians East","55.339722","-160.497222",".9",".4",".4","2000-12",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AK","Alaska","electric-utility","Electric Utility","63560","Sand Point Generating, LLC","1","Sand Point","2","Petroleum Liquids","DFO","Disillate Fuel Oil","IC",NA,NA,"OP","Operating","Aleutians East","55.339722","-160.497222",".9",".3",".3","2000-12",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AK","Alaska","electric-utility","Electric Utility","63560","Sand Point Generating, LLC","1","Sand Point","3","Petroleum Liquids","DFO","Disillate Fuel Oil","IC",NA,NA,"OP","Operating","Aleutians East","55.339722","-160.497222",".5",".3",".3","2010-12",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AK","Alaska","electric-utility","Electric Utility","63560","Sand Point Generating, LLC","1","Sand Point","5.1","Petroleum Liquids","DFO","Disillate Fuel Oil","IC",NA,NA,"OP","Operating","Aleutians East","55.339722","-160.497222",".4",".3",".3","2023-02",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AK","Alaska","electric-utility","Electric Utility","63560","Sand Point Generating, LLC","1","Sand Point","WT1","Onshore Wind Turbine","WND","Wind","WT",NA,NA,"OS","Out of service and NOT expected to return to service in next calendar year","Aleutians East","55.339722","-160.497222",".5",".1",".1","2011-10",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AK","Alaska","electric-utility","Electric Utility","63560","Sand Point Generating, LLC","1","Sand Point","WT2","Onshore Wind Turbine","WND","Wind","WT",NA,NA,"OS","Out of service and NOT expected to return to service in next calendar year","Aleutians East","55.339722","-160.497222",".5",".3",".3","2011-10",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","2","Bankhead Dam","1","Conventional Hydroelectric","WAT","Water","HY","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Tuscaloosa","33.458665","-87.356823","53.9","53","53","1963-07",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","1","Natural Gas Steam Turbine","NG","Natural Gas","ST","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","153.1","80","80","1954-02",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","2","Natural Gas Steam Turbine","NG","Natural Gas","ST","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","153.1","80","80","1954-07",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","4","Conventional Steam Coal","BIT","Bituminous Coal","ST","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","403.7","362","362","1969-12",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","5","Conventional Steam Coal","BIT","Bituminous Coal","ST","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","788.8","756.5","756.5","1971-10",NA,NA,NA,NA,NA,NA,"MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","A1CT","Natural Gas Fired Combined Cycle","NG","Natural Gas","CT","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","170.1","184.4","194.5","2000-05",NA,NA,NA,NA,NA,"G521","MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","A1CT2","Natural Gas Fired Combined Cycle","NG","Natural Gas","CT","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","170.1","184.4","194.5","2000-05",NA,NA,NA,NA,NA,"G521","MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","A1ST","Natural Gas Fired Combined Cycle","NG","Natural Gas","CA","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","195.2","200","205","2000-05",NA,NA,NA,NA,NA,"G521","MW","MW","MW","MW","MW"
"2026-06","AL","Alabama","electric-utility","Electric Utility","195","Alabama Power Co","3","Barry","A2C1","Natural Gas Fired Combined Cycle","NG","Natural Gas","CT","SOCO","Southern Company Services, Inc. - Trans","OP","Operating","Mobile","31.0069","-88.0103","170.1","186.2","190","2000-05",NA,NA,NA,NA,NA,"G522","MW","MW","MW","MW","MW"
