"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","AK","Alaska","ALL","all sectors","364671","24.27","111.85849","460.87892","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AK","Alaska","COM","commercial","58003","23.42","48.08948","205.3103","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AK","Alaska","IND","industrial","1260","21.02","24.34025","115.77928","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AK","Alaska","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AK","Alaska","RES","residential","305408","28.21","39.42876","139.78934","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AK","Alaska","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AL","Alabama","ALL","all sectors","2859151","12.88","1032.50598","8018.60664","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AL","Alabama","COM","commercial","399139","14.67","307.0554","2092.95061","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AL","Alabama","IND","industrial","7257","7.92","230.03268","2905.683","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AL","Alabama","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AL","Alabama","RES","residential","2452755","16.4","495.41789","3019.97303","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AL","Alabama","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AR","Arkansas","ALL","all sectors","1758238","10.56","493.87747","4675.26583","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AR","Arkansas","COM","commercial","211236","11.54","122.6692","1063.44837","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AR","Arkansas","IND","industrial","38388","7.08","139.61977","1971.81059","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AR","Arkansas","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AR","Arkansas","RES","residential","1508612","14.12","231.58523","1639.98572","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AR","Arkansas","TRA","transportation","2","15.47",".00327",".02114","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AZ","Arizona","ALL","all sectors","3567087","13.09","1304.25666","9964.69402","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AZ","Arizona","COM","commercial","353818","12.47","496.76364","3983.12503","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AZ","Arizona","IND","industrial","7130","7.73","104.11688","1347.47331","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AZ","Arizona","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","AZ","Arizona","RES","residential","3206137","15.18","703.26147","4633.13013","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
