"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-Q2","AK","Alaska","ALL","all sectors","363979","25.34","373.36102","1473.50559","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AK","Alaska","COM","commercial","57917","23.28","149.48256","642.03462","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AK","Alaska","IND","industrial","1256","25.65","91.72736","357.56246","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AK","Alaska","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AK","Alaska","RES","residential","304806","27.89","132.1511","473.90853","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AK","Alaska","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AL","Alabama","ALL","all sectors","2856084","12.7","2750.62678","21650.29739","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AL","Alabama","COM","commercial","398980","14.55","834.48849","5736.71125","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AL","Alabama","IND","industrial","7256","7.88","669.19823","8490.91248","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AL","Alabama","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AL","Alabama","RES","residential","2449848","16.8","1246.94005","7422.67366","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AL","Alabama","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AR","Arkansas","ALL","all sectors","1751558","10.14","1275.28518","12578.1997","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AR","Arkansas","COM","commercial","210813","11.5","328.85793","2859.46104","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AR","Arkansas","IND","industrial","34302","6.66","383.31098","5754.34123","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AR","Arkansas","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AR","Arkansas","RES","residential","1506441","14.2","563.10779","3964.3361","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AR","Arkansas","TRA","transportation","2","13.84",".00849",".06134","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AZ","Arizona","ALL","all sectors","3566361","12.72","3209.57181","25226.44878","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AZ","Arizona","COM","commercial","354072","12.08","1291.4177","10692.90376","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AZ","Arizona","IND","industrial","7135","7.51","290.87695","3875.40575","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AZ","Arizona","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AZ","Arizona","RES","residential","3205152","15.27","1626.93918","10655.19755","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","AZ","Arizona","TRA","transportation","2","11.49",".33798","2.94173","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","CA","California","ALL","all sectors","16146141","27.5","15536.1277","56497.76367","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","CA","California","COM","commercial","1701653","25.78","7043.75969","27324.76581","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
