"period","state","stateDescription","combined-heat-and-pwr-comm","combined-heat-and-pwr-elect","combined-heat-and-pwr-indust","direct-use","elect-pwr-sector-gen-subtotal","electric-utilities","energy-only-providers","estimated-losses","facility-direct","full-service-providers","independent-power-producers","indust-and-comm-gen-subtotal","net-interstate-trade","net-trade-index","total-disposition","total-elect-indust","total-international-exports","total-international-imports","total-net-generation","total-supply","unaccounted","combined-heat-and-pwr-comm-units","combined-heat-and-pwr-elect-units","combined-heat-and-pwr-indust-units","direct-use-units","elect-pwr-sector-gen-subtotal-units","electric-utilities-units","energy-only-providers-units","estimated-losses-units","facility-direct-units","full-service-providers-units","independent-power-producers-units","indust-and-comm-gen-subtotal-units","net-interstate-trade-units","net-trade-index-units","total-disposition-units","total-elect-indust-units","total-international-exports-units","total-international-imports-units","total-net-generation-units","total-supply-units","unaccounted-units"
"2024","AK","Alaska","395009","121336","92715","228890","6202782","6020426","0","282127",NA,"6046503","61020","487724","0","1","6690506","6046503",NA,NA,"6690506","6690506","132986","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","AL","Alabama","0","0","5025329","5244160","137895887","104914796","0","4083781","16949","87505983","32981091","5025329","45473808","1.47","142921216","87522932",NA,NA,"142921216","142921216","596535","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","AR","Arkansas","50310","1059673","1010404","856920","60481769","54385955","0","2328116","70789","49825023","5036141","1060714","8121558","1.15","61542484","49895812",NA,NA,"61542484","61542484","340078","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","AZ","Arizona","152660","34036","33847","549614","115840004","86748533","0","4238707","738806","90104482","29057435","186507","19773352","1.21","116026511","90843288","2384",NA,"116026511","116026511","619166","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","CA","California","2371729","9767848","11790774","13039332","200028880","75921531","89617960","11465052","2028838","154070347","114339501","14162504","-53170113",".81","220220020","245717145","1493856","6028637","214191383","220220020","1674749","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","CO","Colorado","21856","59100","247854","293978","58528685","37597975","0","2652264","176696","56666208","20871610","269711","-1378178",".98","58798395","56842904",NA,NA,"58798395","58798395","387427","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","CT","Connecticut","189153","160421","656183","912867","43916076","133816","13488089","1276202","129566","13733700","43621839","845337","15034568","1.51","44761412","27351355",NA,NA,"44761412","44761412","186420","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","DC","District of Columbia","155547","0","0","152337","31648","1486","6920746","473264","9774","3212395","30161","155547","-10650452",".02","187195","10142915",NA,NA,"187195","187195","69132","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","DE","Delaware","5160","114521","1160753","677927","3633299","72718","3871501","530702","3901","7498514","3446060","1165913","-7860855",".38","4799212","11373916",NA,NA,"4799212","4799212","77522","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","FL","Florida","993722","1683815","3499109","3809128","261626404","249530741","0","11902640","2373","255093085","10411848","4492832","-6426658",".98","266119236","255095458",NA,NA,"266119236","266119236","1738669","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","GA","Georgia","2975","456261","4855906","4923024","134946548","115578040","0","6999118","2870","150001095","18912247","4858881","-23143069",".86","139805428","150003965",NA,NA,"139805428","139805428","1022391","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","HI","Hawaii","345325","1390707","227558","377288","8588095","5577115","0","417703","70323","8881811","1620273","572884","0","1","9160979","8952134",NA,NA,"9160979","9160979","-586146","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","IA","Iowa","132530","0","2248469","2386953","68083148","55445254","0","2563029","5133","54925289","12637894","2381000","10209351","1.17","70464148","54930422",NA,NA,"70464148","70464148","374392","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","ID","Idaho","76647","23551","529092","574660","19429699","13475312","0","1230392",NA,"26369555","5930836","605739","-8318897",".71","20035438","26369555",NA,NA,"20035438","20035438","179728","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","IL","Illinois","400781","669931","1962524","2586569","182649630","4244628","79764753","6216308","543823","52918331","177735071","2363305","42075109","1.29","185012935","133226907",NA,NA,"185012935","185012935","908042","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","IN","Indiana","229531","6702383","4635990","7221008","92147360","59951925","0","4629542",NA,"99219607","25493052","4865520","-14733534",".87","97012880","99219607",NA,NA,"97012880","97012880","676257","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","KS","Kansas","12744","0","375274","284332","57308137","30081305","0","1925090","12220","41245990","27226832","388018","13947317","1.32","57696155","41258210",NA,NA,"57696155","57696155","281206","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","KY","Kentucky","1554","0","510103","307235","66439191","65645705","0","3471745","129710","74276161","793486","511657","-11741135",".85","66950848","74405871",NA,NA,"66950848","66950848","507132","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","LA","Louisiana","57670","2967209","27683262","15215299","71881904","64884441","0","4449307",NA,"95356829","4030254","27740931","-16048529",".86","99622835","95356829",NA,NA,"99622835","99622835","649929","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","MA","Massachusetts","1727252","1610954","147557","864995","19040080","547032","33713254","2305849","334073","15371248","16882095","1874809","-32011354",".4","20914890","49418575",NA,NA,"20914890","20914890","336825","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
"2024","MD","Maryland","321578","1291014","55819","296115","35047418","2973907","27055975","2753786","295376","31667337","30782497","377398","-27046030",".57","35424816","59018688",NA,NA,"35424816","35424816","402257","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","ratio","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours","megawatthours"
