"period","respondent","respondent-name","fueltype","type-name","value","value-units","type"
"2026-09-12T23","US48","United States Lower 48",NA,"Demand","637129","megawatthours","D"
"2026-09-12T22","US48","United States Lower 48",NA,"Demand","641088","megawatthours","D"
"2026-09-12T21","US48","United States Lower 48",NA,"Demand","637801","megawatthours","D"
"2026-09-12T20","US48","United States Lower 48",NA,"Demand","628210","megawatthours","D"
"2026-09-12T19","US48","United States Lower 48",NA,"Demand","614482","megawatthours","D"
"2026-09-12T18","US48","United States Lower 48",NA,"Demand","594298","megawatthours","D"
"2026-09-12T17","US48","United States Lower 48",NA,"Demand","569789","megawatthours","D"
"2026-09-12T16","US48","United States Lower 48",NA,"Demand","541857","megawatthours","D"
"2026-09-12T15","US48","United States Lower 48",NA,"Demand","510808","megawatthours","D"
"2026-09-12T14","US48","United States Lower 48",NA,"Demand","485856","megawatthours","D"
"2026-09-12T13","US48","United States Lower 48",NA,"Demand","467121","megawatthours","D"
"2026-09-12T12","US48","United States Lower 48",NA,"Demand","457239","megawatthours","D"
"2026-09-12T11","US48","United States Lower 48",NA,"Demand","452548","megawatthours","D"
"2026-09-12T10","US48","United States Lower 48",NA,"Demand","450741","megawatthours","D"
"2026-09-12T09","US48","United States Lower 48",NA,"Demand","455334","megawatthours","D"
"2026-09-12T08","US48","United States Lower 48",NA,"Demand","465556","megawatthours","D"
"2026-09-12T07","US48","United States Lower 48",NA,"Demand","480990","megawatthours","D"
"2026-09-12T06","US48","United States Lower 48",NA,"Demand","502519","megawatthours","D"
"2026-09-12T05","US48","United States Lower 48",NA,"Demand","523324","megawatthours","D"
"2026-09-12T04","US48","United States Lower 48",NA,"Demand","538785","megawatthours","D"
"2026-09-12T03","US48","United States Lower 48",NA,"Demand","584174","megawatthours","D"
"2026-09-12T02","US48","United States Lower 48",NA,"Demand","609568","megawatthours","D"
"2026-09-12T01","US48","United States Lower 48",NA,"Demand","630899","megawatthours","D"
"2026-09-12T00","US48","United States Lower 48",NA,"Demand","649313","megawatthours","D"
"2026-09-11T23","US48","United States Lower 48",NA,"Demand","667223","megawatthours","D"
"2026-09-11T22","US48","United States Lower 48",NA,"Demand","674190","megawatthours","D"
"2026-09-11T21","US48","United States Lower 48",NA,"Demand","671508","megawatthours","D"
"2026-09-11T20","US48","United States Lower 48",NA,"Demand","661399","megawatthours","D"
"2026-09-11T19","US48","United States Lower 48",NA,"Demand","649034","megawatthours","D"
"2026-09-11T18","US48","United States Lower 48",NA,"Demand","627482","megawatthours","D"
"2026-09-11T17","US48","United States Lower 48",NA,"Demand","598828","megawatthours","D"
"2026-09-11T16","US48","United States Lower 48",NA,"Demand","576904","megawatthours","D"
"2026-09-11T15","US48","United States Lower 48",NA,"Demand","548607","megawatthours","D"
"2026-09-11T14","US48","United States Lower 48",NA,"Demand","526359","megawatthours","D"
"2026-09-11T13","US48","United States Lower 48",NA,"Demand","510013","megawatthours","D"
"2026-09-11T12","US48","United States Lower 48",NA,"Demand","500194","megawatthours","D"
"2026-09-11T11","US48","United States Lower 48",NA,"Demand","487543","megawatthours","D"
"2026-09-11T10","US48","United States Lower 48",NA,"Demand","475609","megawatthours","D"
"2026-09-11T09","US48","United States Lower 48",NA,"Demand","472700","megawatthours","D"
"2026-09-11T08","US48","United States Lower 48",NA,"Demand","480020","megawatthours","D"
"2026-09-11T07","US48","United States Lower 48",NA,"Demand","495906","megawatthours","D"
"2026-09-11T06","US48","United States Lower 48",NA,"Demand","517344","megawatthours","D"
"2026-09-11T05","US48","United States Lower 48",NA,"Demand","545858","megawatthours","D"
"2026-09-11T04","US48","United States Lower 48",NA,"Demand","578000","megawatthours","D"
"2026-09-11T03","US48","United States Lower 48",NA,"Demand","611279","megawatthours","D"
"2026-09-11T02","US48","United States Lower 48",NA,"Demand","643146","megawatthours","D"
"2026-09-11T01","US48","United States Lower 48",NA,"Demand","667575","megawatthours","D"
"2026-09-11T00","US48","United States Lower 48",NA,"Demand","681966","megawatthours","D"
"2026-09-10T23","US48","United States Lower 48",NA,"Demand","693392","megawatthours","D"
"2026-09-10T22","US48","United States Lower 48",NA,"Demand","696643","megawatthours","D"
"2026-09-10T21","US48","United States Lower 48",NA,"Demand","691023","megawatthours","D"
"2026-09-10T20","US48","United States Lower 48",NA,"Demand","678748","megawatthours","D"
"2026-09-10T19","US48","United States Lower 48",NA,"Demand","664675","megawatthours","D"
"2026-09-10T18","US48","United States Lower 48",NA,"Demand","646514","megawatthours","D"
"2026-09-10T17","US48","United States Lower 48",NA,"Demand","625574","megawatthours","D"
"2026-09-10T16","US48","United States Lower 48",NA,"Demand","597299","megawatthours","D"
"2026-09-10T15","US48","United States Lower 48",NA,"Demand","565825","megawatthours","D"
"2026-09-10T14","US48","United States Lower 48",NA,"Demand","542000","megawatthours","D"
"2026-09-10T13","US48","United States Lower 48",NA,"Demand","526040","megawatthours","D"
"2026-09-10T12","US48","United States Lower 48",NA,"Demand","515678","megawatthours","D"
"2026-09-10T11","US48","United States Lower 48",NA,"Demand","501388","megawatthours","D"
"2026-09-10T10","US48","United States Lower 48",NA,"Demand","487089","megawatthours","D"
"2026-09-10T09","US48","United States Lower 48",NA,"Demand","483742","megawatthours","D"
"2026-09-10T08","US48","United States Lower 48",NA,"Demand","494053","megawatthours","D"
"2026-09-10T07","US48","United States Lower 48",NA,"Demand","504169","megawatthours","D"
"2026-09-10T06","US48","United States Lower 48",NA,"Demand","532383","megawatthours","D"
"2026-09-10T05","US48","United States Lower 48",NA,"Demand","561753","megawatthours","D"
"2026-09-10T04","US48","United States Lower 48",NA,"Demand","593406","megawatthours","D"
"2026-09-10T03","US48","United States Lower 48",NA,"Demand","627859","megawatthours","D"
"2026-09-10T02","US48","United States Lower 48",NA,"Demand","661573","megawatthours","D"
"2026-09-10T01","US48","United States Lower 48",NA,"Demand","687129","megawatthours","D"
"2026-09-10T00","US48","United States Lower 48",NA,"Demand","704078","megawatthours","D"
"2026-09-09T23","US48","United States Lower 48",NA,"Demand","714899","megawatthours","D"
"2026-09-09T22","US48","United States Lower 48",NA,"Demand","716830","megawatthours","D"
"2026-09-09T21","US48","United States Lower 48",NA,"Demand","712596","megawatthours","D"
"2026-09-09T20","US48","United States Lower 48",NA,"Demand","701642","megawatthours","D"
"2026-09-09T19","US48","United States Lower 48",NA,"Demand","683178","megawatthours","D"
"2026-09-09T18","US48","United States Lower 48",NA,"Demand","660398","megawatthours","D"
"2026-09-09T17","US48","United States Lower 48",NA,"Demand","631411","megawatthours","D"
"2026-09-09T16","US48","United States Lower 48",NA,"Demand","600369","megawatthours","D"
"2026-09-09T15","US48","United States Lower 48",NA,"Demand","566533","megawatthours","D"
"2026-09-09T14","US48","United States Lower 48",NA,"Demand","539138","megawatthours","D"
"2026-09-09T13","US48","United States Lower 48",NA,"Demand","520485","megawatthours","D"
"2026-09-09T12","US48","United States Lower 48",NA,"Demand","508271","megawatthours","D"
"2026-09-09T11","US48","United States Lower 48",NA,"Demand","493686","megawatthours","D"
"2026-09-09T10","US48","United States Lower 48",NA,"Demand","479700","megawatthours","D"
"2026-09-09T09","US48","United States Lower 48",NA,"Demand","475804","megawatthours","D"
"2026-09-09T08","US48","United States Lower 48",NA,"Demand","483210","megawatthours","D"
"2026-09-09T07","US48","United States Lower 48",NA,"Demand","499653","megawatthours","D"
"2026-09-09T06","US48","United States Lower 48",NA,"Demand","521278","megawatthours","D"
"2026-09-09T05","US48","United States Lower 48",NA,"Demand","549141","megawatthours","D"
"2026-09-09T04","US48","United States Lower 48",NA,"Demand","581058","megawatthours","D"
"2026-09-09T03","US48","United States Lower 48",NA,"Demand","614327","megawatthours","D"
"2026-09-09T02","US48","United States Lower 48",NA,"Demand","648847","megawatthours","D"
