"period","respondent","respondent-name","fueltype","type-name","value","value-units"
"2026-09-13T06","CISO","California Independent System Operator","GEO","Geothermal","825","megawatthours"
"2026-09-13T06","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-13T06","CISO","California Independent System Operator","WAT","Hydro","2579","megawatthours"
"2026-09-13T06","CISO","California Independent System Operator","WND","Wind","4000","megawatthours"
"2026-09-13T05","CISO","California Independent System Operator","GEO","Geothermal","813","megawatthours"
"2026-09-13T05","CISO","California Independent System Operator","SUN","Solar","-60","megawatthours"
"2026-09-13T05","CISO","California Independent System Operator","WAT","Hydro","2621","megawatthours"
"2026-09-13T05","CISO","California Independent System Operator","WND","Wind","3981","megawatthours"
"2026-09-13T04","CISO","California Independent System Operator","GEO","Geothermal","808","megawatthours"
"2026-09-13T04","CISO","California Independent System Operator","SUN","Solar","-68","megawatthours"
"2026-09-13T04","CISO","California Independent System Operator","WAT","Hydro","2638","megawatthours"
"2026-09-13T04","CISO","California Independent System Operator","WND","Wind","4356","megawatthours"
"2026-09-13T03","CISO","California Independent System Operator","GEO","Geothermal","813","megawatthours"
"2026-09-13T03","CISO","California Independent System Operator","SUN","Solar","-26","megawatthours"
"2026-09-13T03","CISO","California Independent System Operator","WAT","Hydro","2579","megawatthours"
"2026-09-13T03","CISO","California Independent System Operator","WND","Wind","4276","megawatthours"
"2026-09-13T02","CISO","California Independent System Operator","GEO","Geothermal","824","megawatthours"
"2026-09-13T02","CISO","California Independent System Operator","SUN","Solar","2556","megawatthours"
"2026-09-13T02","CISO","California Independent System Operator","WAT","Hydro","2656","megawatthours"
"2026-09-13T02","CISO","California Independent System Operator","WND","Wind","4064","megawatthours"
"2026-09-13T01","CISO","California Independent System Operator","GEO","Geothermal","812","megawatthours"
"2026-09-13T01","CISO","California Independent System Operator","SUN","Solar","11686","megawatthours"
"2026-09-13T01","CISO","California Independent System Operator","WAT","Hydro","2162","megawatthours"
"2026-09-13T01","CISO","California Independent System Operator","WND","Wind","3834","megawatthours"
"2026-09-13T00","CISO","California Independent System Operator","GEO","Geothermal","811","megawatthours"
"2026-09-13T00","CISO","California Independent System Operator","SUN","Solar","17272","megawatthours"
"2026-09-13T00","CISO","California Independent System Operator","WAT","Hydro","1073","megawatthours"
"2026-09-13T00","CISO","California Independent System Operator","WND","Wind","3592","megawatthours"
"2026-09-12T23","CISO","California Independent System Operator","GEO","Geothermal","816","megawatthours"
"2026-09-12T23","CISO","California Independent System Operator","SUN","Solar","18922","megawatthours"
"2026-09-12T23","CISO","California Independent System Operator","WAT","Hydro","799","megawatthours"
"2026-09-12T23","CISO","California Independent System Operator","WND","Wind","3364","megawatthours"
"2026-09-12T22","CISO","California Independent System Operator","GEO","Geothermal","807","megawatthours"
"2026-09-12T22","CISO","California Independent System Operator","SUN","Solar","19737","megawatthours"
"2026-09-12T22","CISO","California Independent System Operator","WAT","Hydro","250","megawatthours"
"2026-09-12T22","CISO","California Independent System Operator","WND","Wind","3024","megawatthours"
"2026-09-12T21","CISO","California Independent System Operator","GEO","Geothermal","804","megawatthours"
"2026-09-12T21","CISO","California Independent System Operator","SUN","Solar","20230","megawatthours"
"2026-09-12T21","CISO","California Independent System Operator","WAT","Hydro","86","megawatthours"
"2026-09-12T21","CISO","California Independent System Operator","WND","Wind","2867","megawatthours"
"2026-09-12T20","CISO","California Independent System Operator","GEO","Geothermal","812","megawatthours"
"2026-09-12T20","CISO","California Independent System Operator","SUN","Solar","20020","megawatthours"
"2026-09-12T20","CISO","California Independent System Operator","WAT","Hydro","596","megawatthours"
"2026-09-12T20","CISO","California Independent System Operator","WND","Wind","2705","megawatthours"
"2026-09-12T19","CISO","California Independent System Operator","GEO","Geothermal","824","megawatthours"
"2026-09-12T19","CISO","California Independent System Operator","SUN","Solar","20126","megawatthours"
"2026-09-12T19","CISO","California Independent System Operator","WAT","Hydro","251","megawatthours"
"2026-09-12T19","CISO","California Independent System Operator","WND","Wind","2341","megawatthours"
"2026-09-12T18","CISO","California Independent System Operator","GEO","Geothermal","824","megawatthours"
"2026-09-12T18","CISO","California Independent System Operator","SUN","Solar","19670","megawatthours"
"2026-09-12T18","CISO","California Independent System Operator","WAT","Hydro","460","megawatthours"
"2026-09-12T18","CISO","California Independent System Operator","WND","Wind","2381","megawatthours"
"2026-09-12T17","CISO","California Independent System Operator","GEO","Geothermal","822","megawatthours"
"2026-09-12T17","CISO","California Independent System Operator","SUN","Solar","18709","megawatthours"
"2026-09-12T17","CISO","California Independent System Operator","WAT","Hydro","706","megawatthours"
"2026-09-12T17","CISO","California Independent System Operator","WND","Wind","2715","megawatthours"
"2026-09-12T16","CISO","California Independent System Operator","GEO","Geothermal","816","megawatthours"
"2026-09-12T16","CISO","California Independent System Operator","SUN","Solar","15931","megawatthours"
"2026-09-12T16","CISO","California Independent System Operator","WAT","Hydro","728","megawatthours"
"2026-09-12T16","CISO","California Independent System Operator","WND","Wind","3426","megawatthours"
"2026-09-12T15","CISO","California Independent System Operator","GEO","Geothermal","813","megawatthours"
"2026-09-12T15","CISO","California Independent System Operator","SUN","Solar","6740","megawatthours"
"2026-09-12T15","CISO","California Independent System Operator","WAT","Hydro","1212","megawatthours"
"2026-09-12T15","CISO","California Independent System Operator","WND","Wind","3552","megawatthours"
"2026-09-12T14","CISO","California Independent System Operator","GEO","Geothermal","811","megawatthours"
"2026-09-12T14","CISO","California Independent System Operator","SUN","Solar","246","megawatthours"
"2026-09-12T14","CISO","California Independent System Operator","WAT","Hydro","2223","megawatthours"
"2026-09-12T14","CISO","California Independent System Operator","WND","Wind","3831","megawatthours"
"2026-09-12T13","CISO","California Independent System Operator","GEO","Geothermal","812","megawatthours"
"2026-09-12T13","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-12T13","CISO","California Independent System Operator","WAT","Hydro","2223","megawatthours"
"2026-09-12T13","CISO","California Independent System Operator","WND","Wind","4461","megawatthours"
"2026-09-12T12","CISO","California Independent System Operator","GEO","Geothermal","812","megawatthours"
"2026-09-12T12","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-12T12","CISO","California Independent System Operator","WAT","Hydro","2091","megawatthours"
"2026-09-12T12","CISO","California Independent System Operator","WND","Wind","4546","megawatthours"
"2026-09-12T11","CISO","California Independent System Operator","GEO","Geothermal","809","megawatthours"
"2026-09-12T11","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-12T11","CISO","California Independent System Operator","WAT","Hydro","2098","megawatthours"
"2026-09-12T11","CISO","California Independent System Operator","WND","Wind","4588","megawatthours"
"2026-09-12T10","CISO","California Independent System Operator","GEO","Geothermal","812","megawatthours"
"2026-09-12T10","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-12T10","CISO","California Independent System Operator","WAT","Hydro","2127","megawatthours"
"2026-09-12T10","CISO","California Independent System Operator","WND","Wind","5142","megawatthours"
"2026-09-12T09","CISO","California Independent System Operator","GEO","Geothermal","813","megawatthours"
"2026-09-12T09","CISO","California Independent System Operator","SUN","Solar","-56","megawatthours"
"2026-09-12T09","CISO","California Independent System Operator","WAT","Hydro","2291","megawatthours"
"2026-09-12T09","CISO","California Independent System Operator","WND","Wind","5858","megawatthours"
"2026-09-12T08","CISO","California Independent System Operator","GEO","Geothermal","811","megawatthours"
"2026-09-12T08","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-12T08","CISO","California Independent System Operator","WAT","Hydro","2502","megawatthours"
"2026-09-12T08","CISO","California Independent System Operator","WND","Wind","5887","megawatthours"
"2026-09-12T07","CISO","California Independent System Operator","GEO","Geothermal","809","megawatthours"
"2026-09-12T07","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-12T07","CISO","California Independent System Operator","WAT","Hydro","2952","megawatthours"
"2026-09-12T07","CISO","California Independent System Operator","WND","Wind","5630","megawatthours"
"2026-09-12T06","CISO","California Independent System Operator","GEO","Geothermal","806","megawatthours"
"2026-09-12T06","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-12T06","CISO","California Independent System Operator","WAT","Hydro","3045","megawatthours"
"2026-09-12T06","CISO","California Independent System Operator","WND","Wind","5666","megawatthours"
"2026-09-12T05","CISO","California Independent System Operator","GEO","Geothermal","802","megawatthours"
"2026-09-12T05","CISO","California Independent System Operator","SUN","Solar","-59","megawatthours"
"2026-09-12T05","CISO","California Independent System Operator","WAT","Hydro","2993","megawatthours"
"2026-09-12T05","CISO","California Independent System Operator","WND","Wind","5778","megawatthours"
"2026-09-12T04","CISO","California Independent System Operator","GEO","Geothermal","813","megawatthours"
"2026-09-12T04","CISO","California Independent System Operator","SUN","Solar","-64","megawatthours"
