period,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,sunshine_duration,is_day,uv_index,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,temperature_80m,temperature_120m,temperature_180m,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,wet_bulb_temperature_2m,vapour_pressure_deficit,surface_pressure,pressure_msl,precipitation,rain,showers,snowfall,snow_depth,et0_fao_evapotranspiration,weather_code,precipitation_probability
2017-12-31 23:00:00-08:00,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,25.0,0.0,0.0,,9.726664,,,,51.009003,,,,12.24,,,,11.15,90.177536,9.6,9.635094,10.070816,0.130427,1018.1507,1020.6,0.0,0.0,0.0,0.0,0.0,0.006043611,1.0,
2018-01-01 00:00:00-08:00,0.0,0.0,0.0,0.0,0.0,99.0,3.0,0.0,99.0,0.0,0.0,,8.404285,,,,43.26433,,,,13.679999,,,,10.05,90.70787,8.6,8.457298,9.040284,0.114679456,1017.5426,1020.0,0.0,0.0,0.0,0.0,0.0,0.0038941747,3.0,
2018-01-01 01:00:00-08:00,0.0,0.0,0.0,0.0,0.0,74.0,5.0,0.0,72.0,0.0,0.0,,6.725354,,,,15.524177,,,,11.159999,,,,9.7,92.23274,8.5,8.325944,8.847813,0.09364092,1017.7393,1020.2,0.0,0.0,0.0,0.0,0.0,0.0010427686,2.0,
2018-01-01 02:00:00-08:00,0.0,0.0,0.0,0.0,0.0,68.0,24.0,0.0,59.0,0.0,0.0,,10.383987,,,,33.6901,,,,13.32,,,,9.85,90.387054,8.35,7.903408,8.810768,0.117063165,1017.74054,1020.2,0.0,0.0,0.0,0.0,0.0,0.006061134,2.0,
2018-01-01 03:00:00-08:00,0.0,0.0,0.0,0.0,0.0,43.0,42.0,0.0,2.0,0.0,0.0,,9.957108,,,,40.601215,,,,14.04,,,,9.65,87.64859,7.7,7.600687,8.341372,0.14841187,1017.6388,1020.1,0.0,0.0,0.0,0.0,0.0,0.008288265,1.0,
2018-01-01 04:00:00-08:00,0.0,0.0,0.0,0.0,0.0,54.0,37.0,0.0,0.0,0.0,0.0,,3.2599385,,,,353.6599,,,,13.32,,,,11.0,86.59538,8.85,10.223676,9.556043,0.17623568,1018.349,1020.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
2018-01-01 05:00:00-08:00,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,,8.161764,,,,48.57643,,,,10.440001,,,,9.3,90.65507,7.85,7.5499916,8.295057,0.10967803,1018.0351,1020.5,0.0,0.0,0.0,0.0,0.0,0.0035271163,1.0,
2018-01-01 06:00:00-08:00,0.0,0.0,0.0,0.0,0.0,95.0,16.0,0.0,94.0,0.0,0.0,,5.634891,,,,63.435013,,,,10.799999,,,,9.1,84.35518,6.6,7.416111,7.4826756,0.1811679,1018.23267,1020.7,0.0,0.0,0.0,0.0,0.0,0.0042225285,3.0,
2018-01-01 07:00:00-08:00,0.0,0.0,0.0,0.0,0.0,100.0,12.0,0.0,100.0,0.0,1.0,,6.618519,,,,44.999897,,,,7.5599995,,,,8.3,84.26326,5.8,6.29078,6.6969147,0.17264575,1018.4252,1020.9,0.0,0.0,0.0,0.0,0.0,0.020217892,3.0,
2018-01-01 08:00:00-08:00,63.0,26.0,37.0,216.1746,63.0,13.0,9.0,0.0,4.0,3600.0,1.0,,7.2,,,,53.13002,,,,13.679999,,,,10.3,65.6603,4.15,7.858056,6.8287725,0.43098044,1018.44275,1020.9,0.0,0.0,0.0,0.0,0.0,0.041495305,0.0,
2018-01-01 09:00:00-08:00,240.0,175.0,65.0,625.42816,240.0,74.0,0.0,0.0,74.0,3600.0,1.0,,4.32,,,,360.0,,,,12.24,,,,13.4,49.708294,3.1,11.174281,7.993767,0.7742528,1018.36945,1020.8,0.0,0.0,0.0,0.0,0.0,0.11887219,2.0,
2018-01-01 10:00:00-08:00,398.0,315.0,83.0,754.4549,398.0,61.0,0.0,0.0,61.0,3600.0,1.0,,8.225035,,,,293.1986,,,,17.28,,,,16.0,47.20014,4.75,13.530573,9.931098,0.961082,1018.7902,1021.2,0.0,0.0,0.0,0.0,0.0,0.22540857,2.0,
2018-01-01 11:00:00-08:00,506.0,407.0,99.0,794.229,506.0,70.0,0.0,0.0,70.0,3600.0,1.0,,12.303366,,,,290.55612,,,,24.119999,,,,17.2,52.692936,7.45,14.745939,11.619055,0.9291856,1018.90015,1021.3,0.0,0.0,0.0,0.0,0.0,0.2900389,2.0,
2018-01-01 12:00:00-08:00,559.0,451.0,108.0,808.06665,559.0,94.0,1.0,0.0,94.0,3600.0,1.0,,14.336861,,,,298.49554,,,,28.08,,,,17.6,57.26893,9.05,15.309389,12.524101,0.86070275,1018.1053,1020.5,0.0,0.0,0.0,0.0,0.0,0.31362703,3.0,
